"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"90";4692.16162109375;48;22;0;45;1;1;1;1;1;0;11;4772563;"BOGOTA";0;2;1;274;0;0;6;11;1;1;5;1;1;484;8.45364865527852
"91";6787.87890625;55;24;1;2;4;0;1;1;1;1;11;4772564;"BOGOTA";0;3;1;279;0;0;7;11;1;1;3;1;1;576;8.82289378680931
"92";25083.333984375;40;62;1;13;2;0;1;1;1;0;11;4772565;"BOGOTA";0;2;1;311;0;0;7;11;1;1;5;1;2;3844;10.1299589198982
"93";14420;30;36;0;13;2;0;1;1;1;0;11;4772566;"BOGOTA";0;2;1;298;0;0;7;11;1;1;5;1;2;1296;9.57637141083894
"94";5833.33349609375;48;40;1;79;4;0;1;1;2;1;11;4772566;"BOGOTA";0;2;0;298;0;1;4;11;1;1;3;1;2;1600;8.67134389914528
"95";6416.66650390625;40;54;1;95;1;0;1;1;2;0;11;4772567;"BOGOTA";0;3;0;215;0;1;4;11;1;1;2;1;1;2916;8.76665402568256
"96";2100;50;65;1;45;4;1;1;1;2;1;11;4772568;"BOGOTA";0;3;0;308;0;1;6;11;1;1;1;1;1;4225;7.64969262371151
"97";9722.22265625;48;55;1;44;4;0;1;1;1;1;11;4772569;"BOGOTA";0;3;1;237;0;0;7;11;1;1;1;1;1;3025;9.18216953965234
"98";17500;40;26;0;21;1;0;1;1;1;0;11;4772569;"BOGOTA";0;3;1;237;0;0;7;11;1;1;5;1;1;676;9.76995615991161
"99";13218.6318359375;65;27;0;33;1;0;1;1;1;0;11;4772569;"BOGOTA";0;3;1;237;0;0;7;11;1;1;5;1;1;729;9.48938261606344
"100";3333.33325195312;70;52;1;45;4;1;1;1;2;1;11;4772570;"BOGOTA";0;2;0;259;0;1;6;11;1;1;1;1;3;2704;8.11172805889401
"101";1666.66662597656;84;48;0;45;4;1;1;1;2;1;11;4772571;"BOGOTA";0;3;0;302;0;1;6;11;1;1;1;1;3;2304;7.41858087833406
"102";2424.24243164062;77;24;1;40;1;0;1;1;2;0;11;4772572;"BOGOTA";0;3;0;340;0;1;7;11;1;1;2;1;1;576;7.79327435524129
"103";2916.66674804688;48;66;0;79;1;0;1;1;2;0;11;4772573;"BOGOTA";0;2;0;200;0;1;4;11;1;1;2;1;3;4356;7.97819671858534
"104";5338.52587890625;48;20;0;39;1;1;1;1;1;0;11;4772574;"BOGOTA";0;2;1;289;0;0;6;11;1;1;5;1;1;400;8.58270484120542
